CoM ID,Common Name,Scientific Name,Genus,Family,Diameter Breast Height,Year Planted,Date Planted,Age Description,Useful Life Expectency,Useful Life Expectency Value,Precinct,Located in,UploadDate,CoordinateLocation,Latitude,Longitude,Easting,Northing
1037854,Willow Bottlebrush,Callistemon salignus,Callistemon,Myrtaceae,6.0,1900.0,02/01/2000,Semi-Mature,11-20 years,20.0,,Park,24/08/2019,"(-37.78779511491221, 144.95952740326376)",-37.78779511491221,144.95952740326373,320327.41,5815768.3
1549575,Cork Oak,Quercus suber,Quercus,Fagaceae,,2013.0,17/09/2013,,,,,Park,24/08/2019,"(-37.83183148304578, 144.97364888840193)",-37.83183148304578,144.9736488884019,321676.99,5810908.82
1045476,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,,1998.0,12/02/1998,,,,,Park,24/08/2019,"(-37.79048072215256, 144.95687666019356)",-37.79048072215256,144.95687666019356,320100.49,5815465.19
1070863,Canary Island Date Palm,Phoenix canariensis,Phoenix,Arecaceae,85.0,2007.0,06/06/2007,Mature,31-60 years,60.0,,Park,24/08/2019,"(-37.81884442011804, 144.967174367109)",-37.81884442011804,144.96717436710898,321075.79,5812337.56
1564752,Coastal Banksia,Banksia integrifolia,Banksia,Proteaceae,,2014.0,16/07/2014,,,,,Street,24/08/2019,"(-37.797519008225265, 144.933993868971)",-37.79751900822527,144.93399386897102,318102.68,5814639.88
1520351,Black Wattle,Acacia mearnsii,Acacia,Fabaceae,,,,,,,,Park,24/08/2019,"(-37.78445217694736, 144.94497212126308)",-37.78445217694736,144.94497212126308,319037.46,5816111.17
1674896,Flooded gum,Eucalyptus grandis,Eucalyptus,Myrtaceae,,2017.0,26/09/2017,,,,,Park,24/08/2019,"(-37.81934799027418, 144.94657204043634)",-37.81934799027418,144.94657204043634,319263.46,5812242.01
1522037,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,,,,,,,,Park,24/08/2019,"(-37.78212318320882, 144.94450785359965)",-37.78212318320882,144.94450785359962,318990.89,5816368.71
1032021,Bogong gum,Eucalyptus chapmaniana,Eucalyptus,Myrtaceae,,1998.0,09/03/1998,,,,,Park,24/08/2019,"(-37.83143042424667, 144.97531771009426)",-37.831430424246676,144.97531771009423,321822.9,5810956.51
1656796,Yellow Box,Eucalyptus melliodora,Eucalyptus,Myrtaceae,,2017.0,28/04/2017,,,,,Park,24/08/2019,"(-37.791299175942726, 144.94916183136294)",-37.791299175942726,144.94916183136294,319423.11,5815359.49
1731778,Sweet Bursaria,Bursaria spinosa,Bursaria,Pittosporaceae,,2018.0,24/04/2018,,,,,Street,24/08/2019,"(-37.805528739226716, 144.90906414807068)",-37.805528739226716,144.90906414807068,315927.44,5813702.24
1580716,Black She Oak,Allocasuarina littoralis,Allocasuarina,Casuarinaceae,,2015.0,24/04/2015,,,,,Street,24/08/2019,"(-37.79900598947664, 144.93567678256446)",-37.79900598947664,144.93567678256446,318254.51,5814478.15
1062075,Brush Box,Lophostemon confertus,Lophostemon,Myrtaceae,64.0,2000.0,01/01/2000,Mature,31-60 years,60.0,,Park,24/08/2019,"(-37.812259171491, 144.97877541881525)",-37.812259171491,144.97877541881525,322081.18,5813090.46
1059006,Southern Magnolia,Magnolia grandiflora,Magnolia,Magnoliaceae,,2000.0,14/07/2000,,,,,Park,24/08/2019,"(-37.812355054441646, 144.98290074176296)",-37.812355054441646,144.98290074176296,322444.58,5813087.67
1636141,`Rosea¿ Red Ironbark,Eucalyptus sideroxylon,Eucalyptus,Myrtaceae,,2016.0,03/08/2016,,,,,Park,24/08/2019,"(-37.79886729190662, 144.92584475302354)",-37.79886729190662,144.92584475302354,317388.45,5814474.37
1570798,Holm Oak,Quercus ilex,Quercus,Fagaceae,,2014.0,10/10/2014,,,,,Park,24/08/2019,"(-37.83278125384326, 144.97832588727314)",-37.83278125384326,144.97832588727312,322090.9,5810812.35
1016727,Pyramid Tree,Lagunaria patersonia,Lagunaria,Malvaceae,,1900.0,02/01/2000,,,,,Street,24/08/2019,"(-37.7947901744061, 144.93125838351182)",-37.7947901744061,144.93125838351182,317855.11,5814937.36
1604324,Black Wattle,Acacia melanoxylon,Acacia,Fabaceae,,2015.0,20/08/2015,,,,,Park,24/08/2019,"(-37.79697619557745, 144.9265569113504)",-37.79697619557746,144.9265569113504,317446.5,5814685.61
1440303,Spotted Gum,Corymbia maculata,Corymbia,Myrtaceae,23.0,2009.0,07/09/2009,Semi-Mature,31-60 years,60.0,,Street,24/08/2019,"(-37.799922985609896, 144.95256456822787)",-37.799922985609896,144.95256456822787,319743.72,5814409.11
